AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2073900,,,13.12,-0.13,2.41,3.84,-0.46,15.59,,,-0.13 - -0.26%,-0.26%,,USD,50.59,50.02,50.02 - 50.59,,,,1/25/2017,0.53,1.07,861.00M,2.13,0.49,2.38,1.40,,12/29/2016,47.93,,,,,,,,2/10/2017,2017-02-10 18:29:00 UTC+0000,50.34,,1:29pm,1:29pm - <b>50.34</b>,,,16.20B,,"Agilent Technologies, Inc. Comm",,52.03,50.51,,2.36,35.96,,-0.91%,-0.26%,+5.03%,+8.27%,+44.86%,50.47,3.85,23.63,21.15,,3.86,,2.40,NYQ,A,,,46.50,1074532,50.80,34.75,34.75 - 50.80,A
,,46.33,,6691560,46.32,,7.36,+0.03,-0.47,4.86,-4.31,21.48,,,+0.03 - +0.06%,+0.06%,,USD,46.70,46.17,46.17 - 46.70,,,,2/27/2017,0.40,0.88,7.50B,4.62,1.55,5.35,4.81,,2/9/2017,46.80,,,,,,,,2/10/2017,2017-02-10 19:25:00 UTC+0000,46.33,,2:25pm,2:25pm - <b>46.33</b>,,,23.84B,,"American Airlines Group, Inc.",,54.33,46.62,,4.60,9.63,,-8.51%,+0.06%,-1.00%,+11.73%,+86.44%,46.30,6.29,10.03,8.66,,0.59,,5.28,NMS,AAL,,,41.47,2393614,50.64,24.85,24.85 - 50.64,AAL
,,,,1084280,,,38.78,-0.19,-3.68,4.87,-13.19,31.66,,,-0.19 - -0.12%,-0.12%,,USD,165.87,163.19,163.19 - 165.87,,,,1/6/2017,0.24,0.15,1.16B,7.25,2.53,7.82,6.10,,12/21/2016,168.32,,,,,,,,2/10/2017,2017-02-10 19:44:00 UTC+0000,164.64,,2:44pm,2:44pm - <b>164.64</b>,,,12.12B,,Advance Auto Parts Inc Advance,,178.52,165.23,,2.35,26.98,,-7.42%,-0.12%,-2.18%,+3.05%,+23.81%,164.83,4.25,22.71,21.05,,1.28,,6.90,NYQ,AAP,,,159.77,496009,177.83,132.98,132.98 - 177.83,AAP
,,132.49,,31186800,132.48,,25.19,+0.07,11.17,19.12,-0.45,43.02,,,+0.07 - +0.05%,+0.05%,,USD,132.94,132.10,132.10 - 132.94,,,,2/16/2017,2.28,1.75,69.75B,8.95,1.62,10.12,8.33,,2/9/2017,121.32,,,,,,,,2/10/2017,2017-02-10 18:17:00 UTC+0000,132.49,,1:17pm,1:17pm - <b>132.49</b>,,,695.11B,,Apple Inc.,,139.19,132.42,,1.60,15.91,,-0.34%,+0.05%,+9.21%,+16.87%,+48.08%,132.42,5.26,14.80,13.09,,3.19,,1.61,NMS,AAPL,,,113.37,4442136,132.94,89.47,89.47 - 132.94,AAPL
,,,,7286400,,,3.98,-0.44,-1.32,-2.16,-7.72,8.80,,,-0.44 - -0.72%,-0.72%,,USD,61.00,60.27,60.27 - 61.00,,,,2/15/2017,2.56,4.22,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.72,,,,,,,,2/10/2017,2017-02-10 20:44:00 UTC+0000,60.40,,3:44pm,3:44pm - <b>60.40</b>,,,98.16B,,AbbVie Inc. Common Stock,,69.78,60.85,,0.77,16.64,,-11.33%,-0.72%,-2.14%,-3.46%,+17.05%,60.84,15.28,11.02,9.39,,3.86,,4.83,NYQ,ABBV,,,62.56,4629455,68.12,51.60,51.60 - 68.12,ABBV
,,,,2503320,,,9.7540,-0.8308,6.3140,8.3619,-1.6608,22.4392,,,-0.8308 - -0.9065%,-0.9065%,,USD,91.7500,90.2660,90.2660 - 91.7500,,,,12/5/2016,1.4600,1.6200,2.16B,5.8200,1.4100,6.4200,5.9870,,11/17/2016,84.5052,,,,,,,,2/10/2017,2017-02-10 18:22:00 UTC+0000,90.8192,,1:22pm,1:22pm - <b>90.8192</b>,,,19.73B,,AmerisourceBergen Corporation C,,91.7300,91.5400,,1.6900,15.1694,,-1.7959%,-0.9065%,+7.4717%,+10.1409%,+32.8154%,91.6500,9.3961,15.5779,14.1463,,0.1343,,7.2000,NYQ,ABC,,,82.4573,819318,92.4800,68.3800,68.3800 - 92.4800,ABC
,,,,9321790,,,14.11,+0.23,2.16,1.59,-3.02,6.37,,,+0.23 - +0.54%,+0.54%,,USD,42.80,42.48,42.48 - 42.80,,,,2/15/2017,1.06,2.50,5.00B,2.45,0.60,2.75,0.94,,1/11/2017,40.61,,,,,,,,2/10/2017,2017-02-10 19:21:00 UTC+0000,42.77,,2:21pm,2:21pm - <b>42.77</b>,,,62.97B,,Abbott Laboratories Common Stoc,,47.23,42.63,,1.54,45.65,,-6.60%,+0.54%,+5.31%,+3.87%,+17.50%,42.54,3.01,17.46,15.55,,3.00,,1.74,NYQ,ABT,,,41.18,2212365,45.79,36.40,36.40 - 45.79,ABT
,,,,2431030,,,11.95,+0.94,2.10,1.61,-7.80,23.93,,,+0.94 - +0.80%,+0.80%,,USD,118.84,116.52,116.52 - 118.84,,,,11/15/2016,2.42,2.12,5.66B,5.87,1.53,6.40,6.76,,10/19/2016,115.82,,,,,,,,2/10/2017,2017-02-10 18:57:00 UTC+0000,117.92,,1:57pm,1:57pm - <b>117.92</b>,,,73.42B,,Accenture plc Class A Ordinary,,130.37,116.70,,2.00,17.45,,-6.20%,+0.80%,+1.81%,+1.38%,+25.46%,116.98,9.79,20.09,18.42,,2.18,,3.78,NYQ,ACN,,,116.31,1410791,125.72,93.99,93.99 - 125.72,ACN
,,116.2500,,2645780,116.2300,,15.0220,-0.2125,6.4135,10.9275,-0.6725,40.8275,,,-0.2125 - -0.1825%,-0.1825%,,USD,116.7500,115.0300,115.0300 - 116.7500,,,,,0.0000,0.0000,1.82B,3.8200,0.9100,4.8000,2.3200,,3/24/2005,109.8140,,,,,,,,2/10/2017,2017-02-10 18:35:00 UTC+0000,116.2275,,1:35pm,1:35pm - <b>116.2275</b>,,,57.43B,,Adobe Systems Incorporated,,123.1600,116.5100,,0.9700,50.0981,,-0.5753%,-0.1825%,+5.8403%,+10.3775%,+54.1479%,116.4400,7.7513,30.4260,24.2141,,9.8268,,1.9000,NMS,ADBE,,,105.3000,1290153,116.9000,75.4000,75.4000 - 116.9000,ADBE
,,76.51,,2629920,76.50,,16.76,-0.01,2.64,9.10,-1.27,27.82,,,-0.01 - -0.01%,-0.01%,,USD,76.78,75.54,75.54 - 76.78,,,,12/13/2016,1.68,2.22,1.25B,3.39,0.76,3.75,2.76,,11/30/2016,73.86,,,,,,,,2/10/2017,2017-02-10 19:38:00 UTC+0000,76.50,,2:38pm,2:38pm - <b>76.50</b>,,,23.58B,,"Analog Devices, Inc.",,79.58,76.78,,3.37,27.72,,-1.63%,-0.01%,+3.57%,+13.50%,+57.15%,76.51,4.56,22.57,20.40,,6.89,,7.44,NMS,ADI,,,67.40,1047968,77.77,48.68,48.68 - 77.77,ADI
