AfterHoursChangeRealtime,AnnualizedGain,Ask,AskRealtime,AverageDailyVolume,Bid,BidRealtime,BookValue,Change,ChangeFromFiftydayMovingAverage,ChangeFromTwoHundreddayMovingAverage,ChangeFromYearHigh,ChangeFromYearLow,ChangePercentRealtime,ChangeRealtime,Change_PercentChange,ChangeinPercent,Commission,Currency,DaysHigh,DaysLow,DaysRange,DaysRangeRealtime,DaysValueChange,DaysValueChangeRealtime,DividendPayDate,DividendShare,DividendYield,EBITDA,EPSEstimateCurrentYear,EPSEstimateNextQuarter,EPSEstimateNextYear,EarningsShare,ErrorIndicationreturnedforsymbolchangedinvalid,ExDividendDate,FiftydayMovingAverage,HighLimit,HoldingsGain,HoldingsGainPercent,HoldingsGainPercentRealtime,HoldingsGainRealtime,HoldingsValue,HoldingsValueRealtime,LastTradeDate,LastTradeDateTimeUTC,LastTradePriceOnly,LastTradeRealtimeWithTime,LastTradeTime,LastTradeWithTime,LowLimit,MarketCapRealtime,MarketCapitalization,MoreInfo,Name,Notes,OneyrTargetPrice,Open,OrderBookRealtime,PEGRatio,PERatio,PERatioRealtime,PercebtChangeFromYearHigh,PercentChange,PercentChangeFromFiftydayMovingAverage,PercentChangeFromTwoHundreddayMovingAverage,PercentChangeFromYearLow,PreviousClose,PriceBook,PriceEPSEstimateCurrentYear,PriceEPSEstimateNextYear,PricePaid,PriceSales,SharesOwned,ShortRatio,StockExchange,Symbol,TickerTrend,TradeDate,TwoHundreddayMovingAverage,Volume,YearHigh,YearLow,YearRange,symbol
,,,,2055880,,,13.118,-0.135,2.190,3.845,-0.505,15.635,,,-0.135 - -0.267%,-0.267%,,USD,50.680,50.090,50.090 - 50.680,,,,1/25/2017,0.530,1.050,902.00M,2.130,0.490,2.380,1.400,,12/29/2016,48.194,,,,,,,,2/14/2017,2017-02-14 19:27:00 UTC+0000,50.385,,2:27pm,2:27pm - <b>50.385</b>,,,16.21B,,"Agilent Technologies, Inc. Comm",,52.370,50.240,,2.360,35.989,,-0.992%,-0.267%,+4.545%,+8.261%,+44.993%,50.520,3.851,23.655,21.170,,3.868,,2.380,NYQ,A,,,46.540,1985660,50.890,34.750,34.750 - 50.890,A
,,46.63,,6609560,46.62,,7.36,-0.79,-0.08,4.92,-4.02,21.77,,,-0.79 - -1.67%,-1.67%,,USD,47.28,46.47,46.47 - 47.28,,,,2/27/2017,0.40,0.86,7.50B,4.62,1.55,5.35,4.81,,2/9/2017,46.70,,,,,,,,2/14/2017,2017-02-14 19:25:00 UTC+0000,46.62,,2:25pm,2:25pm - <b>46.62</b>,,,23.99B,,"American Airlines Group, Inc.",,54.33,47.26,,4.71,9.69,,-7.94%,-1.67%,-0.16%,+11.80%,+87.61%,47.41,6.45,10.09,8.71,,0.61,,3.57,NMS,AAL,,,41.70,3966733,50.64,24.85,24.85 - 50.64,AAL
,,,,1047330,,,38.7810,+2.1546,-3.3204,4.9336,-13.2854,31.5646,,,+2.1546 - +1.3268%,+1.3268%,,USD,164.7900,161.8500,161.8500 - 164.7900,,,,1/6/2017,0.2400,0.1500,1.16B,7.2500,2.5200,7.8300,6.1020,,12/21/2016,167.8650,,,,,,,,2/14/2017,2017-02-14 18:29:00 UTC+0000,164.5446,,1:29pm,1:29pm - <b>164.5446</b>,,,12.12B,,Advance Auto Parts Inc Advance,,178.5200,162.3900,,2.2100,26.9657,,-7.4708%,+1.3268%,-1.9780%,+3.0910%,+23.7364%,162.3900,4.1874,22.6958,21.0146,,1.2563,,5.7100,NYQ,AAP,,,159.6110,343002,177.8300,132.9800,132.9800 - 177.8300,AAP
,,133.35,,30413800,133.26,,25.19,+1.17,10.99,19.26,-0.53,43.82,,,+1.17 - +0.89%,+0.89%,,USD,133.82,132.75,132.75 - 133.82,,,,2/16/2017,2.28,1.73,69.75B,8.95,1.62,10.12,8.33,,2/9/2017,122.30,,,,,,,,2/13/2017,2017-02-13 21:00:00 UTC+0000,133.29,,4:00pm,4:00pm - <b>133.29</b>,,,699.31B,,Apple Inc.,,139.19,133.08,,1.60,16.00,,-0.40%,+0.89%,+8.98%,+16.89%,+48.98%,132.12,5.24,14.89,13.17,,3.18,,1.61,NMS,AAPL,,,114.03,23131608,133.82,89.47,89.47 - 133.82,AAPL
,,,,7071440,,,3.98,+0.09,-1.16,-1.98,-7.61,8.91,,,+0.09 - +0.15%,+0.15%,,USD,60.86,60.43,60.43 - 60.86,,,,2/15/2017,2.56,4.24,11.11B,5.48,1.38,6.43,3.63,,1/11/2017,61.67,,,,,,,,2/13/2017,2017-02-13 21:00:00 UTC+0000,60.51,,4:00pm,4:00pm - <b>60.51</b>,,,98.33B,,AbbVie Inc. Common Stock,,69.78,60.58,,0.77,16.67,,-11.18%,+0.15%,-1.87%,-3.16%,+17.27%,60.42,15.18,11.04,9.41,,3.83,,4.83,NYQ,ABBV,,,62.49,6396046,68.12,51.60,51.60 - 68.12,ABBV
,,,,2418340,,,9.75,+0.30,5.51,8.28,-3.72,22.40,,,+0.30 - +0.33%,+0.33%,,USD,90.86,89.73,89.73 - 90.86,,,,3/6/2017,1.46,1.60,2.16B,5.83,1.41,6.42,5.99,,11/17/2016,85.27,,,,,,,,2/14/2017,2017-02-14 17:41:00 UTC+0000,90.78,,12:41pm,12:41pm - <b>90.78</b>,,,19.72B,,AmerisourceBergen Corporation C,,91.73,90.00,,1.68,15.16,,-3.94%,+0.33%,+6.46%,+10.04%,+32.76%,90.48,9.28,15.57,14.14,,0.13,,5.75,NYQ,ABC,,,82.50,814820,94.50,68.38,68.38 - 94.50,ABC
,,,,9223120,,,14.1110,+0.1175,2.4439,2.2102,-2.4525,6.5775,,,+0.1175 - +0.2719%,+0.2719%,,USD,43.4053,42.9583,42.9583 - 43.4053,,,,2/15/2017,1.0600,2.4800,5.00B,2.4500,0.6000,2.7500,0.9370,,1/11/2017,40.8936,,,,,,,,2/14/2017,2017-02-14 18:02:00 UTC+0000,43.3375,,1:02pm,1:02pm - <b>43.3375</b>,,,63.81B,,Abbott Laboratories Common Stoc,,47.2300,43.0100,,1.5500,46.2513,,-5.3560%,+0.2719%,+5.9762%,+5.3740%,+17.8931%,43.2200,3.0629,17.6888,15.7591,,3.0515,,1.2600,NYQ,ABT,,,41.1273,3414509,45.7900,36.7600,36.7600 - 45.7900,ABT
,,,,2376380,,,11.9470,+0.9559,3.6989,3.1169,-6.1741,25.5559,,,+0.9559 - +0.8061%,+0.8061%,,USD,119.5500,118.4050,118.4050 - 119.5500,,,,11/15/2016,2.4200,2.0600,5.66B,5.8700,1.5300,6.4000,6.7580,,10/19/2016,115.8470,,,,,,,,2/14/2017,2017-02-14 16:34:00 UTC+0000,119.5459,,11:34am,11:34am - <b>119.5459</b>,,,74.43B,,Accenture plc Class A Ordinary,,130.3700,118.4700,,2.0300,17.6895,,-4.9110%,+0.8061%,+3.1929%,+2.6771%,+27.1900%,118.5900,9.9263,20.3656,18.6790,,2.2117,,3.3600,NYQ,ACN,,,116.4290,865906,125.7200,93.9900,93.9900 - 125.7200,ACN
,,116.93,,2538970,116.91,,15.02,-0.73,6.35,11.23,-1.02,41.52,,,-0.73 - -0.62%,-0.62%,,USD,117.79,116.67,116.67 - 117.79,,,,,0.00,0.00,1.82B,3.82,0.91,4.80,2.32,,3/24/2005,110.57,,,,,,,,2/14/2017,2017-02-14 16:36:00 UTC+0000,116.92,,11:36am,11:36am - <b>116.92</b>,,,57.77B,,Adobe Systems Incorporated,,123.96,117.65,,0.98,50.40,,-0.86%,-0.62%,+5.75%,+10.63%,+55.07%,117.65,7.83,30.61,24.36,,9.93,,2.13,NMS,ADBE,,,105.69,479717,117.94,75.40,75.40 - 117.94,ADBE
,,77.33,,2628990,77.31,,16.76,-0.59,3.25,9.65,-0.70,28.65,,,-0.59 - -0.76%,-0.76%,,USD,77.97,77.07,77.07 - 77.97,,,,12/13/2016,1.68,2.20,1.25B,3.38,0.76,3.75,2.76,,11/30/2016,74.08,,,,,,,,2/14/2017,2017-02-14 17:40:00 UTC+0000,77.33,,12:40pm,12:40pm - <b>77.33</b>,,,23.83B,,"Analog Devices, Inc.",,80.22,77.84,,3.43,28.02,,-0.90%,-0.76%,+4.39%,+14.26%,+58.85%,77.92,4.65,22.81,20.62,,7.02,,5.48,NMS,ADI,,,67.68,1049579,78.03,48.68,48.68 - 78.03,ADI
